Date,Value,Anomaly
195012,33.01,0.02
195101,30.20,-0.37
195102,34.54,0.52
195103,38.55,-3.33
195104,49.73,-1.52
195105,60.76,0.40
195106,66.65,-2.08
195107,73.69,-0.13
195108,71.89,-0.41
195109,64.09,-1.02
195110,54.00,-0.21
195111,38.08,-3.95
195112,31.23,-1.76
195201,32.00,1.43
195202,35.46,1.44
195203,37.69,-4.19
195204,51.66,0.41
195205,60.58,0.22
195206,70.75,2.02
195207,74.10,0.28
195208,72.82,0.52
195209,65.89,0.78
195210,52.95,-1.26
195211,39.92,-2.11
195212,33.44,0.45
195301,36.43,5.86
195302,35.87,1.85
195303,43.75,1.87
195304,48.76,-2.49
195305,59.18,-1.18
195306,70.18,1.45
195307,74.17,0.35
195308,72.10,-0.20
195309,66.16,1.05
195310,56.21,2.00
195311,43.88,1.85
195312,33.69,0.70
195401,30.90,0.33
195402,41.41,7.39
195403,39.25,-2.63
195404,54.18,2.93
195405,58.59,-1.77
195406,68.85,0.12
195407,75.47,1.65
195408,72.18,-0.12
195409,66.45,1.34
195410,54.68,0.47
195411,44.06,2.03
195412,33.91,0.92
195501,29.35,-1.22
195502,31.05,-2.97
195503,40.06,-1.82
195504,52.86,1.61
195505,61.29,0.93
195506,66.54,-2.19
195507,74.44,0.62
195508,73.87,1.57
195509,65.88,0.77
195510,55.04,0.83
195511,38.23,-3.80
195512,31.71,-1.28
195601,31.01,0.44
195602,32.27,-1.75
195603,40.75,-1.13
195604,49.37,-1.88
195605,61.77,1.41
195606,70.36,1.63
195607,73.06,-0.76
195608,71.69,-0.61
195609,65.10,-0.01
195610,56.16,1.95
195611,40.32,-1.71
195612,36.23,3.24
195701,27.07,-3.50
195702,38.07,4.05
195703,41.27,-0.61
195704,50.70,-0.55
195705,59.65,-0.71
195706,68.70,-0.03
195707,74.28,0.46
195708,71.65,-0.65
195709,64.18,-0.93
195710,51.67,-2.54
195711,40.26,-1.77
195712,37.00,4.01
195801,31.60,1.03
195802,31.98,-2.04
195803,37.67,-4.21
195804,50.27,-0.98
195805,62.42,2.06
195806,67.93,-0.80
195807,72.63,-1.19
195808,73.29,0.99
195809,65.43,0.32
195810,54.73,0.52
195811,43.02,0.99
195812,32.22,-0.77
195901,29.50,-1.07
195902,32.49,-1.53
195903,41.45,-0.43
195904,51.60,0.35
195905,60.84,0.48
195906,69.96,1.23
195907,73.58,-0.24
195908,73.17,0.87
195909,64.74,-0.37
195910,53.33,-0.88
195911,38.66,-3.37
195912,35.94,2.95
196001,29.46,-1.11
196002,30.52,-3.50
196003,35.91,-5.97
196004,52.59,1.34
196005,59.31,-1.05
196006,69.08,0.35
196007,73.89,0.07
196008,72.21,-0.09
196009,66.45,1.34
196010,54.77,0.56
196011,42.73,0.70
196012,30.40,-2.59
196101,29.71,-0.86
196102,37.42,3.40
196103,43.47,1.59
196104,48.67,-2.58
196105,58.87,-1.49
196106,69.49,0.76
196107,73.24,-0.58
196108,72.70,0.40
196109,63.41,-1.70
196110,53.85,-0.36
196111,40.50,-1.53
196112,31.08,-1.91
196201,26.96,-3.61
196202,34.92,0.90
196203,37.90,-3.98
196204,51.84,0.59
196205,62.24,1.88
196206,67.91,-0.82
196207,72.07,-1.75
196208,72.12,-0.18
196209,64.18,-0.93
196210,56.12,1.91
196211,43.18,1.15
196212,33.40,0.41
196301,24.44,-6.13
196302,34.12,0.10
196303,43.72,1.84
196304,51.89,0.64
196305,61.02,0.66
196306,68.67,-0.06
196307,73.60,-0.22
196308,71.98,-0.32
196309,66.34,1.23
196310,59.36,5.15
196311,44.04,2.01
196312,27.90,-5.09
196401,31.53,0.96
196402,31.77,-2.25
196403,38.82,-3.06
196404,51.30,0.05
196405,61.43,1.07
196406,68.00,-0.73
196407,74.66,0.84
196408,70.72,-1.58
196409,63.70,-1.41
196410,53.78,-0.43
196411,42.33,0.30
196412,32.04,-0.95
196501,31.80,1.23
196502,32.52,-1.50
196503,35.44,-6.44
196504,51.89,0.64
196505,60.80,0.44
196506,66.85,-1.88
196507,72.61,-1.21
196508,71.06,-1.24
196509,61.77,-3.34
196510,54.99,0.78
196511,44.65,2.62
196512,35.85,2.86
196601,26.38,-4.19
196602,31.24,-2.78
196603,43.00,1.12
196604,49.96,-1.29
196605,60.19,-0.17
196606,67.93,-0.80
196607,75.07,1.25
196608,70.86,-1.44
196609,64.54,-0.57
196610,52.83,-1.38
196611,43.21,1.18
